k,n,joint_pass,joint_pass_rate,functional_pass,functional_rate,security_pass,security_rate,mean_findings,mean_feedback,condition
0,19,14,0.7368421052631579,15,0.7894736842105263,14,0.7368421052631579,0.10526315789473684,0.10526315789473684,naive (naive_haiku_20260416_144940)
1,2,1,0.5,1,0.5,2,1.0,0.5,0.5,naive (naive_haiku_20260416_144940)
2,1,1,1.0,1,1.0,1,1.0,0.0,0.0,naive (naive_haiku_20260416_144940)
0,19,15,0.7894736842105263,16,0.8421052631578947,15,0.7894736842105263,0.10526315789473684,0.0,selective (selective_haiku_20260416_145333)
0,19,14,0.7368421052631579,15,0.7894736842105263,14,0.7368421052631579,0.10526315789473684,0.0,llm_judge (llm_judge_haiku_20260416_145335)
